Part #,type,core_od,cladding_od,jacket_od,jacket_material,weight/length,tensile_strength
,,micron,micron,mm,,g/m,lb
LINDEN-SPE-7079,singlemode,,,1.65,LCP,,50
LINDEN-SPE-7208,singlemode,,,2,LCP,,50
LINDEN-SPE-7209,singlemode,,,2.2,LCP,,50
LINDEN-SPE-7068,singlemode,,,1.65,LCP,,45
LINDEN-SPE-7216,singlemode,,,2,LCP,,45
LINDEN-SPE-7217,singlemode,,,2.2,LCP,,45
LINDEN-SPE-7088,multimode,50,125,0.9,LCP,,50
LINDEN-SPE-7210,multimode,50,125,1.65,LCP,,50
LINDEN-SPE-7211,multimode,50,125,2,LCP,,50
LINDEN-SPE-7212,multimode,50,125,2.2,LCP,,50
LINDEN-SPE-7081,multimode,62.5,125,1.65,LCP,,50
LINDEN-SPE-7213,multimode,62.5,125,2,LCP,,50
LINDEN-SPE-7214,multimode,62.5,125,2.2,LCP,,50
LINDEN-SPE-7346,multimode,50,125,2.9,LCP,,60
